Wed, 31 Aug 11 12:54:28 -0500: [DEBUG      (             include)] - disp_acctreqs partial view loaded
Wed, 31 Aug 11 12:54:28 -0500: [DEBUG      (             include)] - disp_acctreqs partial view loaded
Wed, 31 Aug 11 12:54:28 -0500: [DEBUG      (             include)] - disp_acctreqs partial view loaded
Wed, 31 Aug 11 12:54:28 -0500: [DEBUG      (             include)] - disp_acctreqs partial view loaded
Wed, 31 Aug 11 12:54:28 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:54:28 -0500: [DEBUG      (             include)] - reqsview partial view loaded
Wed, 31 Aug 11 12:54:28 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:54:30 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:54:30 -0500: [INFO       (         __construct)] - splash Controller Loaded
Wed, 31 Aug 11 12:54:30 -0500: [INFO       (               index)] - Entering index
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (               index)] - UUID: c8c99c3e-23af-4c0f-a90d-343d54d98888
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:54:30 -0500: [INFO       (             include)] - Grid Admin Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:54:30 -0500: [INFO       (             include)] - Site Admin Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:54:30 -0500: [INFO       (             include)] - Region Admin Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:54:30 -0500: [INFO       (             include)] - User Login: Hiro Protagonist@70.139.147.116
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (             include)] - functionality view loaded
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (             include)] - UUID: c8c99c3e-23af-4c0f-a90d-343d54d98888
Wed, 31 Aug 11 12:54:30 -0500: [DEBUG      (               index)] - isLoggedIn() == TRUE
Wed, 31 Aug 11 12:54:35 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:54:35 -0500: [INFO       (         __construct)] - Feeds controller loaded
Wed, 31 Aug 11 12:54:35 -0500: [INFO       (                post)] - Entering post
Wed, 31 Aug 11 12:54:35 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:56:15 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:56:15 -0500: [INFO       (         __construct)] - Feeds controller loaded
Wed, 31 Aug 11 12:56:15 -0500: [INFO       (                post)] - Entering post
Wed, 31 Aug 11 12:56:15 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:56:15 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:56:15 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:56:15 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:56:15 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:56:15 -0500: [DEBUG      (             include)] - footer partial view loaded
Wed, 31 Aug 11 12:56:15 -0500: [DEBUG      (             include)] - comment view loaded
Wed, 31 Aug 11 12:56:15 -0500: [DEBUG      (             include)] - UUID: c8c99c3e-23af-4c0f-a90d-343d54d98888
Wed, 31 Aug 11 12:57:43 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:57:43 -0500: [INFO       (         __construct)] - Feeds controller loaded
Wed, 31 Aug 11 12:57:43 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:57:43 -0500: [INFO       (         __construct)] - Base SimHost Site Controller Loaded
Wed, 31 Aug 11 12:57:43 -0500: [INFO       (         __construct)] - Feeds controller loaded
Wed, 31 Aug 11 12:57:43 -0500: [INFO       (         __construct)] - Feeds Model Loaded
Wed, 31 Aug 11 12:57:43 -0500: [DEBUG      (             include)] - webstats partial view loaded
Wed, 31 Aug 11 12:57:43 -0500: [DEBUG      (             include)] - header partial view loaded
Wed, 31 Aug 11 12:57:43 -0500: [DEBUG      (             include)] - interface partial view loaded
Wed, 31 Aug 11 12:57:43 -0500: [DEBUG      (             include)] - control partial view loaded
Wed, 31 Aug 11 12:57:43 -0500: [DEBUG      (             include)] - feeds partial view loaded
